STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,DAPR,MDPR,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,WT01,WT02,WT03,WT04,WT05,WT06,WT08,WT09
US1NJBG0023,"OAKLAND 0.9 SSE, NJ US",41.0191,-74.2334,149.4,3/5/18,,,0,0,0,,,,,,,,,,,
US1NJBG0023,"OAKLAND 0.9 SSE, NJ US",41.0191,-74.2334,149.4,3/6/18,,,0,0,0,,,,,,,,,,,
US1NJBG0023,"OAKLAND 0.9 SSE, NJ US",41.0191,-74.2334,149.4,3/7/18,,,0.2,1.5,1.5,,,,,,,,,,,
US1NJBG0023,"OAKLAND 0.9 SSE, NJ US",41.0191,-74.2334,149.4,3/8/18,,,2.03,24.5,22.5,,,,,,,,,,,
US1NJBG0023,"OAKLAND 0.9 SSE, NJ US",41.0191,-74.2334,149.4,3/9/18,,,0,0,17,,,,,,,,,,,
US1NJBG0023,"OAKLAND 0.9 SSE, NJ US",41.0191,-74.2334,149.4,3/10/18,,,0,0,13.5,,,,,,,,,,,
US1NJBG0023,"OAKLAND 0.9 SSE, NJ US",41.0191,-74.2334,149.4,3/11/18,,,0,0,12,,,,,,,,,,,
US1NJBG0023,"OAKLAND 0.9 SSE, NJ US",41.0191,-74.2334,149.4,3/12/18,,,0,0,10,,,,,,,,,,,
US1NJBG0023,"OAKLAND 0.9 SSE, NJ US",41.0191,-74.2334,149.4,3/13/18,,,0.28,2.5,11,,,,,,,,,,,
US1NJBG0023,"OAKLAND 0.9 SSE, NJ US",41.0191,-74.2334,149.4,3/14/18,,,0.02,0,7.5,,,,,,,,,,,
US1NJBG0023,"OAKLAND 0.9 SSE, NJ US",41.0191,-74.2334,149.4,3/15/18,,,0,0,6.5,,,,,,,,,,,
US1NJBG0023,"OAKLAND 0.9 SSE, NJ US",41.0191,-74.2334,149.4,3/16/18,,,0,0,5,,,,,,,,,,,
US1NJBG0023,"OAKLAND 0.9 SSE, NJ US",41.0191,-74.2334,149.4,3/17/18,,,0,0,4.5,,,,,,,,,,,
US1NJBG0023,"OAKLAND 0.9 SSE, NJ US",41.0191,-74.2334,149.4,3/18/18,,,0,0,3,,,,,,,,,,,
US1NJBG0023,"OAKLAND 0.9 SSE, NJ US",41.0191,-74.2334,149.4,3/19/18,,,0,0,3,,,,,,,,,,,
US1NJBG0023,"OAKLAND 0.9 SSE, NJ US",41.0191,-74.2334,149.4,3/20/18,,,0,0,2,,,,,,,,,,,
US1NJBG0023,"OAKLAND 0.9 SSE, NJ US",41.0191,-74.2334,149.4,3/21/18,,,0,0,2,,,,,,,,,,,
US1NJBG0023,"OAKLAND 0.9 SSE, NJ US",41.0191,-74.2334,149.4,3/22/18,,,0.58,7.5,9,,,,,,,,,,,
US1NJBG0023,"OAKLAND 0.9 SSE, NJ US",41.0191,-74.2334,149.4,3/23/18,,,0,0,3,,,,,,,,,,,
US1NJBG0023,"OAKLAND 0.9 SSE, NJ US",41.0191,-74.2334,149.4,3/24/18,,,0,0,2,,,,,,,,,,,
