STATION,date,ENTRIES,EXITS
168 ST,2018-03-07,19483.0,12912.0
168 ST,2018-03-08,26296.0,17824.0
168 ST,2018-03-09,27724.0,18579.0
169 ST,2018-03-03,4425.0,3519.0
169 ST,2018-03-04,3396.0,2754.0
169 ST,2018-03-05,8811.0,7213.0
169 ST,2018-03-06,9101.0,7593.0
169 ST,2018-03-07,6591.0,5574.0
169 ST,2018-03-08,8652.0,7136.0
169 ST,2018-03-09,8968.0,7109.0
170 ST,2018-03-03,8186.0,5555.0
170 ST,2018-03-04,6328.0,4419.0
170 ST,2018-03-05,15080.0,9230.0
170 ST,2018-03-06,15725.0,9485.0
170 ST,2018-03-07,11454.0,6809.0
170 ST,2018-03-08,15357.0,8969.0
170 ST,2018-03-09,15605.0,9267.0
174 ST,2018-03-03,2583.0,2555.0
174 ST,2018-03-04,1895.0,1974.0
174 ST,2018-03-05,4386.0,3616.0
174 ST,2018-03-06,4336.0,3846.0
174 ST,2018-03-07,2996.0,3045.0
174 ST,2018-03-08,4245.0,4090.0
174 ST,2018-03-09,3597.0,2705.0
174-175 STS,2018-03-03,3125.0,1140.0
174-175 STS,2018-03-04,2514.0,938.0
174-175 STS,2018-03-05,5334.0,1918.0
174-175 STS,2018-03-06,5382.0,2089.0
174-175 STS,2018-03-07,4174.0,1523.0
174-175 STS,2018-03-08,5455.0,1974.0
174-175 STS,2018-03-09,5653.0,2099.0
175 ST,2018-03-03,6631.0,3556.0
175 ST,2018-03-04,5450.0,3221.0
175 ST,2018-03-05,13301.0,6411.0
175 ST,2018-03-06,13803.0,6676.0
175 ST,2018-03-07,8701.0,5143.0
175 ST,2018-03-08,13187.0,6373.0
175 ST,2018-03-09,13981.0,6615.0
176 ST,2018-03-03,2805.0,1783.0
176 ST,2018-03-04,2064.0,1458.0
176 ST,2018-03-05,5648.0,3063.0
176 ST,2018-03-06,5877.0,3040.0
176 ST,2018-03-07,4336.0,2208.0
176 ST,2018-03-08,5999.0,2848.0
176 ST,2018-03-09,5950.0,3213.0
18 AV,2018-03-03,7844.0,1597.0
18 AV,2018-03-04,6998.0,1697.0
18 AV,2018-03-05,14957.0,2846.0
18 AV,2018-03-06,15268.0,2962.0
18 AV,2018-03-07,11625.0,2241.0
18 AV,2018-03-08,14779.0,2787.0
18 AV,2018-03-09,14621.0,2625.0
18 ST,2018-03-03,4295.0,3470.0
18 ST,2018-03-04,3149.0,2585.0
18 ST,2018-03-05,8475.0,5476.0
18 ST,2018-03-06,9423.0,5796.0
18 ST,2018-03-07,6287.0,3598.0
18 ST,2018-03-08,9227.0,5682.0
18 ST,2018-03-09,9212.0,5741.0
181 ST,2018-03-03,13514.0,12178.0
181 ST,2018-03-04,11456.0,10120.0
181 ST,2018-03-05,22574.0,19134.0
181 ST,2018-03-06,23387.0,18804.0
181 ST,2018-03-07,16468.0,14345.0
181 ST,2018-03-08,22777.0,18182.0
181 ST,2018-03-09,23070.0,18623.0
182-183 STS,2018-03-03,3286.0,1229.0
182-183 STS,2018-03-04,2472.0,1000.0
182-183 STS,2018-03-05,5118.0,1538.0
182-183 STS,2018-03-06,5188.0,1529.0
182-183 STS,2018-03-07,3969.0,1376.0
182-183 STS,2018-03-08,5094.0,1446.0
182-183 STS,2018-03-09,5268.0,1633.0
183 ST,2018-03-03,3698.0,1728.0
183 ST,2018-03-04,2900.0,1263.0
183 ST,2018-03-05,6008.0,2785.0
183 ST,2018-03-06,6136.0,2728.0
183 ST,2018-03-07,4547.0,2298.0
183 ST,2018-03-08,6116.0,3027.0
183 ST,2018-03-09,5213.0,2694.0
190 ST,2018-03-03,2335.0,1176.0
190 ST,2018-03-04,1910.0,1135.0
